Unique Id,Name,Total households_2014-18,Total persons_2014-18,Households with children_ %_2000,Households with children_ %_2014-18,Female-headed households w/kids_ %_2000,Female-headed households w/kids_ %_2014-18,Children_ %_2014-18,Working age population_ %_2014-18,Seniors_ %_2014-18,Education less than high school_ %_2000,Education less than high school_ %_2014-18,Education=high school_ %_2000,Education=high school_ %_2014-18,Education=some college_ %_2000,Education=some college_ %_2014-18,Education=associates degree_ %_2000,Education=associates degree_ %_2014-18,Education=college or higher_ %_2000,Education=college or higher_ %_2014-18,English spoken at home_ %_2000,English spoken at home_ %_2014-18,Spanish spoken at home_ %_2000,Spanish spoken at home_ %_2014-18,Asian language spoken at home_ %_2000,Asian language spoken at home_ %_2014-18,Other language spoken at home_ %_2000,Other language spoken at home_ %_2014-18,Limited English household_ %_2014-18,White_ %_2000,White_ %_2014-18,African American_ %_2000,African American_ %_2014-18,Asian_ %_2000,Asian_ %_2014-18,American Indian_ %_2000,American Indian_ %_2014-18,Other or multiple race_ %_2000,Other or multiple race_ %_2014-18,Hispanic or Latino_ %_2000,Hispanic or Latino_ %_2014-18,Noncitizens_ %_2014-18,Workers driving/carpooling to work_ %_2000,Workers driving/carpooling to work_ %_2014-18,Workers using public transportation_ %_2000,Workers using public transportation_ %_2014-18,Workers walking or other non-vehicle_ %_2000,Workers walking or other non-vehicle_ %_2014-18,Percent of population living in urban areas_2010,Crowded housing units_ %_2014-18,Poverty rate (all persons)_ %_2000,Poverty rate (all persons)_ %_2014-18,Poverty rate (children)_ %_2000,Poverty rate (children)_ %_2014-18,Median household income_2000,Median household income_2014-18,Persons below 185% poverty_ %_2014-18,Ratio of 95th percentile to median income_2014-18,Gini Index Of Income Inequality_2014-18,Households renting home_ %_2000,Households renting home_ %_2014-18,Median rent_2000,Median rent_2014-18,Renters paying >30% income_ %_2000,Renters paying >30% income_ %_2014-18,Households without vehicle_ %_2000,Households without vehicle_ %_2014-18,Disability_ %_2014-18,Uninsured_ %_2014-18
stfid,name,hh1418_est,persons1418_est,hhkids00,hhkids1418_est,fhhhkids00,fhhhkids1418_est,kids1418_est,workingage1418_est,seniors1418_est,edlesshs00,edlesshs1418_est,edhs00,edhs1418_est,edsomecol00,edsomecol1418_est,edass00,edass1418_est,edcoll00,edcoll1418_est,langeng00,langeng1418_est,langspan00,langspan1418_est,langasn00,langasn1418_est,langoth00,langoth1418_est,limitedeng1418_est,racewhite00,racewhite1418_est,raceaa00,raceaa1418_est,raceasian00,raceasian1418_est,raceamind00,raceamind1418_est,raceoth00,raceoth1418_est,hispanic00,hispanic1418_est,noncitizens1418_est,drive00,drive1418_est,pubtransp00,pubtrans1418_est,walkoth00,walkoth1418_est,pcnt_urban10,crowdedunits1418_est,pratecen00,prateacs1418_est,pratekidscen00,pratekidsacs1418_est,medinccen00,medincacs1418_est,pov185_1418_est,r95hhincper_1418_est,gini1418_est,renters00,renters1418_est,medrent00,medrent1418_est,highrent00,highrent1418_est,noveh00,noveh1418_est,disability5up1418_est,uninsured1418_est
5511978950,"Taft town, Taylor County",180,471,42.5,32.2,1.7,1.5,29.9,56.7,13.4,34,11.4,39.7,37.3,11,25.8,9.1,8.4,6.2,17.1,95.4,95.3,0.3,0.7,0.9,0.0,3.5,4.1,0.0,97.2,94.7,0,0.0,0.3,0.0,0.6,0.0,0.6,5.1,1.4,0.2,1.3,81.8,72.2,0,0.0,3.1,4.2,0.0,2.2,8.7,11.7,10.4,15.2,37500,57500,25.1,3.6,0.4128,15,10.0,1125,666,100,38.9,1.6,2.2,9.6,16.4
5512100925,"Albion town, Trempealeau County",240,646,43.3,26.7,5.1,5.6,21.5,63.0,15.5,10.7,9.4,55.3,31.9,13.6,20.8,10.4,19.2,9.9,18.8,99,95.9,0.5,2.3,0,0.3,0.5,1.5,0.0,97.3,92.4,0.5,1.1,0.3,1.2,0.3,1.9,0.5,1.2,1,2.2,3.3,82.3,85.5,0.3,0.0,5.5,5.6,0.0,1.3,5.6,3.7,7.6,3.6,42431,59737,17.0,3.0,0.3628,17.7,25.0,416,838,0,21.7,0,0.0,11.2,5.3
5512102500,"Arcadia city, Trempealeau County",1035,3013,29.4,33.0,6.6,14.1,34.8,54.0,11.2,25.9,21.4,40.5,39.5,18.3,13.9,6.3,7.4,8.9,17.9,94.8,61.9,3.1,36.0,0,0.6,2,1.5,14.4,96,57.2,0.1,0.6,0.2,0.5,0.1,0.0,0.5,0.0,3.1,41.6,17.7,60.4,88.0,0,1.0,11.6,7.6,99.1,8.7,9.1,9.8,11.1,8.6,31571,46801,39.5,2.9,0.4141,38.3,43.7,384,789,16.8,40.9,9.7,8.1,7.8,20.3
5512102525,"Arcadia town, Trempealeau County",659,1663,40.2,26.7,3.5,4.3,25.0,60.5,14.6,20.2,9.8,37.1,42.9,19.8,14.1,9.3,10.7,13.5,22.6,93.3,92.1,2.3,5.9,0,0.0,4.4,2.0,1.5,97.9,93.1,0,0.0,0.2,0.0,0,0.0,0.6,0.0,1.3,6.9,1.7,83.1,85.5,0.7,0.0,3.2,6.6,5.3,0.0,8.6,8.6,12.9,7.0,45588,65042,25.3,3.4,0.4502,17.2,17.8,398,946,4.1,29.1,2.5,2.3,6.2,5.0
5512108075,"Blair city, Trempealeau County",555,1334,26.5,30.5,4.7,12.7,26.4,53.2,20.4,25.8,16.9,43.6,45.4,15.5,17.9,5.3,9.3,10,10.6,90.1,91.7,1.2,7.2,0,0.6,8.7,0.6,0.0,98,91.3,0.2,0.0,0.1,0.5,0.2,0.0,0.2,1.2,1.3,7.0,1.4,65.1,94.0,0,0.0,9.7,3.8,0.0,0.9,9.6,11.3,13.2,16.4,30769,45417,31.4,2.6,0.3796,30.2,38.4,336,660,14.7,40.4,12.8,9.2,13.6,2.6
5512111325,"Burnside town, Trempealeau County",203,490,33.5,28.1,4.1,3.8,22.9,60.2,16.9,19.7,13.7,44.9,42.7,19.1,14.8,9.1,15.1,7.2,13.7,88,92.5,3.9,7.1,0,0.0,8,0.4,1.0,99.4,88.8,0,0.0,0,0.0,0,0.0,0.2,0.0,0.4,11.2,3.7,94.7,76.2,0,0.8,8.3,5.5,0.0,0.0,6.5,11.7,8.9,18.5,41111,56806,24.1,2.6,0.4056,15.2,22.2,463,690,33.3,33.3,4.9,4.9,12.5,6.7
5512111975,"Caledonia town, Trempealeau County",339,871,46.9,40.4,5.7,6.9,25.4,63.7,10.9,10.9,4.8,40.7,37.1,25.8,17.0,8.2,19.5,14.5,21.7,98.2,98.5,0.5,1.0,0,0.5,1.2,0.0,0.0,98.4,97.0,0,0.7,0.1,0.5,0.3,0.6,0.1,1.3,1.1,0.0,0.8,64.7,96.9,0,0.0,0.5,1.4,0.0,0.9,4.2,9.2,5.5,11.9,47292,62917,15.7,4.0,0.39,7.3,6.2,350,850,21.4,0.0,1.5,0.0,8.2,3.8
5512114525,"Chimney Rock town, Trempealeau County",96,255,41.8,25.0,4.1,1.5,26.7,58.8,14.5,13.5,4.1,44.3,51.2,16.2,12.8,11.4,9.9,14.6,22.1,98.5,98.3,0,0.8,0,0.0,1.5,0.8,0.0,98.2,98.0,0.7,0.0,0.7,0.0,0,0.4,0,0.0,0.4,1.6,0.0,88.1,89.7,0,0.7,1.3,4.7,0.0,1.0,10.1,3.1,20.3,2.9,44375,61667,23.5,2.4,0.304,19.4,19.8,438,575,0,0.0,2.1,2.1,12.6,4.7
5512120300,"Dodge town, Trempealeau County",190,418,36.3,24.2,5,6.3,23.0,60.3,16.8,23.2,6.0,32.7,42.7,18.8,17.7,9.6,15.7,15.8,18.0,93.5,97.7,3.7,1.8,0,0.5,2.7,0.0,0.0,99.5,98.3,0,0.2,0.2,0.5,0,0.0,0,0.0,0.2,1.0,1.0,72,84.9,0.9,0.0,4.8,5.2,0.0,0.0,10.2,3.6,12.3,5.2,40972,55000,18.2,2.7,0.3773,21.9,25.3,325,588,8.1,22.9,3,4.7,9.8,7.2
5512123175,"Eleva village, Trempealeau County",333,774,28.9,30.0,6.5,15.2,30.2,57.5,12.3,24.3,4.2,46.9,35.1,13.1,21.2,8.2,18.5,7.5,21.0,95.8,98.0,1.7,1.7,0,0.0,2.5,0.3,0.0,98.4,91.0,0.2,6.1,0.2,0.0,0.2,0.0,1.1,0.4,0,2.6,0.0,72,85.1,0.6,0.0,8.5,4.9,0.0,0.9,9.5,9.7,12.9,13.7,31250,51563,26.4,2.9,0.3805,31.8,36.3,408,708,17.4,38.0,8.9,8.1,9.2,5.3
5512124400,"Ettrick village, Trempealeau County",257,587,27.4,26.9,5.4,6.7,23.5,60.3,16.2,22.4,5.6,45.6,48.4,14.2,20.0,8.5,14.9,9.3,11.1,95.3,100.0,0.8,0.0,0,0.0,3.9,0.0,0.0,98.7,99.3,0.2,0.0,0.2,0.0,0,0.0,1,0.2,0,0.5,0.0,61.6,98.5,0,0.0,7.8,0.3,0.0,0.0,5.2,4.8,5.2,5.8,34250,49141,19.8,2.7,0.3703,38.6,37.4,347,458,22.6,22.9,11.6,3.9,9.0,8.5
5512124425,"Ettrick town, Trempealeau County",496,1209,34.8,30.4,2,3.1,18.8,61.3,19.9,14.9,7.1,44.7,45.2,17.3,19.3,7.7,9.9,15.4,18.5,95.5,98.5,0.8,0.4,0,0.0,3.7,1.0,0.0,99.1,96.0,0.1,0.5,0.1,0.0,0,0.0,0.2,3.1,0.6,0.4,0.3,85,89.4,0.9,0.5,3.3,5.4,0.0,0.0,3.9,5.9,0.7,3.0,41625,69342,16.3,2.2,0.346,12.9,12.3,500,830,5.9,4.9,1.9,1.4,9.3,5.2
5512128150,"Gale town, Trempealeau County",639,1586,34.7,26.0,3.2,1.2,19.7,63.4,16.9,12.5,6.0,43,36.4,16.1,17.3,10.1,17.8,18.4,22.5,96.8,98.4,1.1,0.5,0,0.0,2.1,1.0,0.0,98.2,99.0,0.1,0.0,0.1,0.0,0,0.0,1.3,0.4,0.2,0.6,0.6,83.3,91.5,0,0.0,4.8,1.5,0.0,1.1,6,7.8,6.8,15.0,45489,71750,16.3,2.2,0.3445,16.9,12.4,491,1013,11.8,2.5,4.5,1.9,6.2,4.8
5512128200,"Galesville city, Trempealeau County",762,1794,30.4,25.3,7.8,8.7,22.9,58.8,18.4,16.3,10.9,33.4,38.0,18.7,17.1,10.5,11.4,21,22.5,96.4,96.5,2.1,1.6,0,1.8,1.5,0.2,0.7,98.7,96.0,0.1,0.0,0.1,2.2,0.1,0.6,0.5,0.6,0.4,0.7,0.9,65.8,86.9,0,0.0,6.4,10.3,0.0,2.1,9.6,12.4,11.9,10.4,35054,51458,27.6,2.6,0.383,37.5,41.2,356,698,22.8,35.0,13.3,8.5,13.4,6.4
5512132050,"Hale town, Trempealeau County",386,891,41,29.8,3.4,3.8,19.8,59.4,20.9,15.3,2.8,46.8,39.0,16.1,25.1,8.3,14.2,13.5,19.0,94.5,98.2,2.5,0.4,0,0.6,3,0.9,0.0,98.2,98.1,0.1,0.0,0.2,0.6,0.3,0.7,0.4,0.7,0.8,0.0,0.6,85,88.6,0,0.0,2.5,5.7,0.0,0.0,5.5,4.5,4.1,5.8,42589,62833,17.7,2.6,0.3788,18.1,19.2,381,764,8.3,35.1,2,0.8,9.4,4.6
5512136800,"Independence city, Trempealeau County",626,1579,27.9,31.6,7.6,15.8,26.2,57.8,16.0,23,16.9,42.2,48.8,17.3,14.2,5.9,8.5,11.6,11.6,91,76.9,2.2,18.1,0,0.0,6.8,5.0,9.0,97.8,72.1,0.2,0.0,0,1.0,0.2,0.0,0.2,0.0,1.6,26.9,11.0,69.8,95.0,0,0.0,4.3,3.7,0.0,3.7,9.6,11.6,7.2,10.3,27389,47955,33.6,3.0,0.3971,38,46.2,345,714,14.3,29.8,8.8,5.8,11.8,14.5
5512144500,"Lincoln town, Trempealeau County",232,809,38.1,36.6,3.9,11.7,24.1,50.1,25.8,28,9.0,42.1,35.7,15.2,21.0,9.6,14.5,5.2,19.9,97.9,88.5,0.5,10.2,0.3,0.0,1.3,1.4,1.3,98.2,83.1,0.2,2.1,0.2,0.0,0.1,0.5,0.1,1.1,1.1,13.2,0.9,73,91.9,2.3,0.0,9.3,4.5,0.0,4.3,30.9,13.0,26.8,16.4,33393,60000,29.2,2.8,0.4123,16.7,24.1,463,767,27.3,50.0,3.9,7.8,9.8,2.5
