establishment_name,address,district,inspection_date,establishment_grade
BURGER KING (UNION BLDG. FOOD COURT) -RESTAURANT OPERATIONS- UNIVERSITY OF WISCONSIN MILWAUKEE,2200 E KENWOOD BL,3,2/5/2020,A
BURLEIGH FOOD,1845 W BURLEIGH ST,6,6/27/2019,A
BURLEIGH FOOD MART,1120 E BURLEIGH ST,3,6/24/2019,A
BURLEIGH MARATHON,7535 W BURLEIGH ST,10,8/13/2020,A
BURNHEARTS,2599 S LOGAN AV,14,10/14/2019,A
BURRITO BUENO,7308 W CAPITOL DR,2,6/20/2019,A
BUSINESS OFFICE CAFETERIA,3301 W FOREST HOME AV,8,11/25/2019,A
BUYRITE FOOD & LIQUOR,2500 N 35TH ST,15,4/9/2019,A
C & R MARKET,3001 S 9TH ST,14,1/30/2018,A
C & R MARKET,3001 S 9TH PL,14,2/19/2020,A
C & SON'S II INC,4433 W LISBON AV,15,3/11/2019,A
C ADAMS BAKERY,400 N WATER ST,,2/19/2020,A
C-VICHE,2165 S KINNICKINNIC AV,14,11/25/2019,A
C. ADAMS BAKERY,400 N WATER ST,4,8/1/2019,A
CAFE @ LARGE #3622,908 S 5TH ST,12,12/20/2018,A
CAFE AT THE PLAZA,1007 N CASS ST,4,5/14/2019,A
CAFE BENELUX,346 N RIVERWALK WA,4,8/12/2020,A
CAFE CALATRAVA PARKING LEVEL CATERING KITCHEN,700 N ART MUSEUM DR,4,7/25/2019,A
CAFE CENTRAL,2306 S KINNICKINNIC AV,14,11/18/2019,A
CAFE CENTRAL,2306 S KINNICKINNIC AV,14,11/18/2019,A
CAFE CORAZON,3129 N BREMEN ST,3,6/24/2019,A
CAFE CORAZON BAY VIEW,2394 S KINNICKINNIC AV,14,5/15/2019,A
CAFE DELI,901 N 9TH ST,4,9/3/2019,A
CAFE HOLLANDER,2608 N DOWNER AV,3,1/13/2020,A
CAFE INDIA,605 S 1ST ST,12,2/18/2020,A
CAFE INDIA- BAR & GRILL,2201 S KINNICKINNIC AV,14,12/12/2019,A
CAFE LA SCALA,631 E CHICAGO ST,4,10/21/2019,A
CAFE LULU,2261 S HOWELL AV,14,11/8/2019,A
CAFE@LARGE,908 S 5TH ST,12,1/23/2018,A
CALDERONE CLUB,842 N OLD WORLD THIRD ST,4,12/9/2019,A
CAMINO,434 S 2ND ST,12,3/9/2020,A
CAMP BAR,525 E MENOMONEE ST,4,7/23/2020,A
CAMPBELLS IRISH PUB,4068 S HOWELL AV,13,5/7/2019,A
CAMPSITE 131,131 N JACKSON ST,,9/6/2019,A
CANARY COFFEE BAR,720 N OLD WORLD THIRD ST,,7/28/2020,A
CANFORA BAKERY,1100 E OKLAHOMA AV,14,6/27/2019,A
CANTEEN DINING,1320 N MARTIN L KING JR DR,6,8/23/2019,A
CANTINA MILWAUKEE,1110 N OLD WORLD THIRD ST,4,5/23/2019,A
CAPITAL GALST FOOD,4030 N TEUTONIA AV,1,10/30/2019,A
CAPITAN D'S,7320 W GOOD HOPE RD,,8/26/2019,A
CAPITOL CITGO MART,4302 W CAPITOL DR,7,1/16/2020,A
CAPITOL CLARK,425 E CAPITOL DR,6,6/17/2020,A
CAPITOL COURT CITGO,4001 N 60TH ST,2,6/22/2020,A
CAPITOL FOOD SAVER,4131 W CAPITOL DR,7,7/15/2020,A
CAPITOL KING GRYOS,10000 W CAPITOL DR,5,1/8/2019,A
CAPITOL MINI MART,2329 W CAPITOL DR,6,8/21/2019,P
CAPITOL OASIS,6203 W CAPITOL DR,2,8/27/2020,A
CAPITOL PANTRY,2483 W CAPITOL DR,7,9/10/2019,A
CAPTAIN D'S,7320 W GOOD HOPE RD,9,10/29/2018,A
CARADARO CLUB,5010 W VLIET ST,10,12/3/2019,P
CARADARO CLUB,5010 W VLIET ST,10,12/3/2019,A
CARINI'S LA CONCA D'ORO,3468 N OAKLAND AV,3,10/22/2019,A
CARNEVOR,718 N MILWAUKEE ST,4,12/10/2019,A
CARNICERIA EL CAMPESINO,635 W GREENFIELD AV,12,6/11/2019,A
CARNICERIA VARGAS,1709 S MUSKEGO AV,8,9/16/2019,A
CARNITAS MACHETES,2000 S 8TH ST,12,7/7/2019,A
CARSON'S,301 W JUNEAU AVE,4,12/4/2019,A
CARTERS MINI MART,823 N 2ND ST,4,2/17/2020,T
CASABLANCA RESTAURANT,728 E BRADY ST,3,11/13/2019,A
CASH AND CARRY CATERING,8103 W TOWER AV,9,6/5/2019,A
CASINO BANQUETS (EXPO) (THIRD FLOOR),1721 W CANAL ST,,3/6/2020,A
CASINO BANQUETS- POTAWATOMI CASINO,1611 W CANAL ST,8,3/6/2020,A
CASPAR'S LOUNGE,1300 W KEEFE AV,6,9/5/2019,A
CATCHIN CRAWFISH,6300 N 76TH ST,,10/18/2019,A
CATER TO YOU #0629,1537 S CESAR E CHAVEZ DR,12,7/10/2019,MA
CATERING BY LEROY,2053 N MARTIN L KING JR DR,,10/15/2019,A
CATERING KITCHEN,1442 W WISCONSIN AV,4,9/6/2019,A
CATFISH LOUNGE,3646 N TEUTONIA AV,6,2/27/2020,A
CEDAR CREST (UNION BLDG. FOOD COURT) - RESTAURANT OPERATIONS- UNIVERSITY OF WISCONSIN MILWAUKEE,2200 E KENWOOD BL,3,2/7/2019,A
CELESTA,1978 N FARWELL AV,3,9/5/2019,A
CENTER & SHERMAN TOBACCO & CELL,4320 W CENTER ST,7,7/16/2020,A
CENTER PETRO MART,1431 W CENTER ST,15,6/17/2020,P
CENTER PETRO MART,1431 W CENTER ST,15,6/17/2020,A
CENTER ST BP,406 E CENTER ST,6,8/21/2019,A
CENTER STREET FISH MARKET,1212 W CENTER ST,15,9/19/2019,A
CENTER STREET FOOD AND LIQUOR,2667 N 5TH ST,6,7/25/2019,A
CENTER STREET FOODS,4630 W CENTER ST,7,3/4/2020,A
CENTRAL CITY CYBER SCHOOL,4301 N 44TH ST,7,1/23/2020,A
CENTRO CAFE,808 E CENTER ST,3,10/14/2019,A
CERMAK FRESH MARKET,1236 S BARCLAY ST,12,4/24/2019,A
CHAHAL CITGO,3308 W VLIET ST,15,1/30/2020,A
CHAMBER EAST FOOD,200 E CHAMBERS ST,6,9/16/2019,A
CHAMBER EAST FOOD TWO,200 E CENTER ST,,7/2/2020,A
CHAMOY MEGALOKOS,604 W HISTORIC MITCHELL ST,12,8/23/2018,Temporarily Closed
CHAMPION CHICKEN,8718 W LISBON AV,5,9/11/2018,B
CHAMPION CHICKEN,8718 W LISBON AV,5,9/11/2018,Temporarily Closed
CHAMPION CHICKEN/NYPD,8718 W LISBON AV,5,8/5/2020,B
CHAR'D,222 E ERIE ST,4,1/7/2020,A
CHARLES E FROMAGE,5811 W VLIET ST,10,2/19/2020,A
CHARLEY'S PHILLY,3272 S 27TH ST,11,5/15/2019,A
CHECKERS,3431 W FOND DU LAC AV,7,12/10/2019,A
CHECKERS (17468),1205 W NORTH AV,15,2/19/2020,A
CHECKERS (17470),7525 W CAPITOL DR,10,6/10/2019,A
CHECKERS (17470),7525 W CAPITOL DR,10,6/10/2019,A
CHIC UNDERGROUND LOUNGE/CHIC CAFE,770 N JEFFERSON ST,4,9/13/2018,B
CHICAGO RED HOTS,9025 W BROWN DEER RD,9,3/4/2020,A
CHICAGO STYLE,2221 W NATIONAL AV,,8/15/2019,A
CHICAGO SUBS,530 W NATIONAL AV,12,2/4/2019,A
CHICAGO SUBS (14020),4231 W CAPITOL DR,7,6/16/2020,A
CHICKEN & GRILL HOUSE,3526 W SILVER SPRING DR,1,8/3/2020,A
CHICKEN MAN,9104 W BROWN DEER RD,9,5/8/2019,A
CHICKEN PALACE NATIONAL,3433 W NATIONAL AV,8,10/28/2019,B
CHICKEN PALACE- FOREST HOME #210,1937 W FOREST HOME AV,,5/28/2020,MT
CHICKEN PALACE-FOREST HOME,1937 W FOREST HOME AV,12,7/11/2019,B
CHICKEN PALACE-FOREST HOME ID #0638,1937 W FOREST HOME AV,12,8/23/2019,MA
CHILANGO EXPRESS #0793,6821 W LINCOLN AV,,8/31/2018,MA
CHILI'S TOO,4068 S HOWELL AV,13,6/19/2019,A
CHINA GOURMET,117 E WELLS ST,4,10/22/2019,A
CHINA HUT,5114 W HOWARD AV,11,12/4/2019,A
CHINA KING,2982 S CHASE AV,14,4/17/2019,A
CHINA TASTE,749 N 27TH ST,4,3/26/2019,A
CHINA TOWN RESTAURANT,5125 W NORTH AV,10,3/2/2020,A
CHINA TOWN RESTAURANT,5125 W NORTH AV,10,3/2/2020,Pending
CHINESE CHEF,7800 W APPLETON AV,5,11/29/2018,A
CHIPOTLE MEXICAN GRILL #313,600 E OGDEN AV,3,2/11/2020,A
CHIPOTLE MEXICAN GRILL #441,3232 S 27TH ST,13,11/4/2019,A
CHOPSTIX,1820 N FARWELL AV,3,4/22/2019,P
CHOPSTIX,1820 N FARWELL AV,3,4/22/2019,B
CHU HAI ORIENTAL MARKET,7510 W APPLETON AV,2,2/11/2020,A
CHUBBY'S CHEESESTEAKS,605 S 1ST ST,12,2/10/2020,A
CHUBBY'S CHEESESTEAKS,2232 N OAKLAND AV,3,9/19/2019,A
CHUCK E CHEESE'S,2701 S CHASE AV,14,6/20/2019,A
CHUCK E CHEESE'S,2701 S CHASE AV,14,6/20/2019,A
CHUCK E CHEESE'S,2701 S CHASE AV,14,6/20/2019,A
CHUCK'S SMOKE SHOP,3004 N 27TH ST,7,5/16/2019,A
CHURCH'S CHICKEN,242 E CAPITOL DR,6,6/11/2019,B
CIELITO LINDO,733 S 2ND ST,12,7/8/2019,A
CIELITO LINDO #0143,733 S 2ND ST,12,10/8/2019,MA
CIELITO SALVADORENO LLC (ID #0787),621 S 4TH ST,12,8/22/2018,MA
CIELITO SALVADORENO LLC (ID #0787),621 S 4TH ST,12,8/14/2019,MA
CINCO DE MAYO FIESTA,8412 W MORGAN AV,11,7/29/2019,A
CINCO DE MAYO FIESTA #0861,8412 W MORGAN AV,11,10/18/2019,MA
CINCO DE MAYO FIESTA #0899,8412 W MORGAN AV,11,10/3/2018,MA
CIRCLE K PANTRY,130 N WATER ST,4,1/15/2020,A
CITGO,5758 W APPLETON AV,10,9/4/2020,A
CITGO,6330 W SILVER SPRING DR,9,9/24/2019,A
CITGO,6410 W SILVER SPRING DR,2,1/10/2020,A
CITGO,1530 W STATE ST,,7/9/2020,A
CITGO (18056),1254 N 35TH ST,4,2/5/2019,Pending
CITGO (25598),4928 W VILLARD AV,1,4/23/2019,A
CITGO (26048),3551 N TEUTONIA AV,6,7/23/2019,A
CITGO 107,8632 N 107TH ST,9,3/14/2019,A
CITGO GAS STATION (23854),3708 W NORTH AV,15,6/18/2020,A
CITGO MART,2627 W CAPITOL DR,7,8/9/2019,P
CITGO MART,3425 W SILVER SPRING DR,1,8/24/2020,A
CITGO ON ATKINSON,818 W ATKINSON AV,6,10/9/2019,A
CITGO ON FOND DU LAC & MILL RD,9622 W FOND DU LAC AV,,3/10/2020,A
CITGO ON HOLTON,2237 N HOLTON ST,6,6/24/2020,A
CITGO/ROTE OIL LTD,5931 N 91ST ST,2,3/27/2019,A
CITY LIGHTS BREWING COMPANY #0801,2200 W MT VERNON AV,8,7/15/2020,MA
CITY SUBS (UNION BLDG. FOOD COURT)- RESTAURANT OPERATIONS- UNIVERSITY OF WISCONSIN MILWAUKEE,2200 E KENWOOD BL,3,2/5/2020,A
CITY.NET CAFE/ACR,901 N 9TH ST,,7/11/2018,A
CITY.NET/CAFE,306 E WISCONSIN AV,4,2/3/2020,A
CJ'S MINI MART,3520 W FOND DU LAC AV,,7/19/2018,A
CJ'S MINI MART,3520 W FOND DU LAC AV,,7/19/2018,Pending
CLARION INN HOTEL/CORK N CLEAVER,5311 S HOWELL AV,13,3/28/2019,A
CLARK,1235 W LAYTON AV,13,1/23/2019,A
CLARK,3865 S 76TH ST,11,7/31/2019,A
CLARK,3100 S 60TH ST,11,10/22/2019,A
CLARK,7520 W STEVENSON ST,10,7/6/2020,A
CLARK,1418 S MUSKEGO AV,12,1/6/2020,A
CLARK  (BLUEMOUND RD),7535 W BLUE MOUND RD,10,6/15/2020,A
CLARK 13TH ST,1300 W LAYTON AV,13,1/16/2020,A
CLARK GAS STATION,3434 W OKLAHOMA AV,11,2/12/2019,
CLARK GAS STATION  (21355),3510 W LINCOLN AV,8,2/20/2020,A
CLARK GAS STATION (15965),6028 W FOND DU LAC AV,2,4/9/2019,P
CLARK GAS STATION (22519),1605 W OKLAHOMA AV,13,3/2/2020,A
CLARK ON 12TH & NORTH,2242 N 12TH ST,,7/1/2020,P
CLARK ON CENTER,905 W CENTER ST,,6/29/2020,A
CLARKE FOODS,832 E CLARKE ST,3,5/6/2019,A
CLASSIC SLICE PIZZA,2797 S KINNICKINNIC AV,14,10/9/2019,A
CLASSY GIRL CUPCAKE,825 N JEFFERSON ST,4,5/14/2019,A
CLEVELAND AVENUE CITGO,6001 W CLEVELAND AV,11,5/16/2019,A
CLUB CHARLIES,320 E MENOMONEE ST,4,9/23/2019,A
CLUB GARIBALDI,2501 S SUPERIOR ST,14,11/18/2019,A
CLUB TIMBUKTU,520 E CENTER ST,6,8/5/2019,A
COACH'S PUB & GRILL,5356 S 13TH ST,13,7/25/2019,A
COACHES,1125 N 9TH ST,,3/3/2020,A
COCINA 1022,1022 S 1ST ST,12,11/12/2018,A
COFFEE MAKES YOU BLACK,2803 N TEUTONIA AV,15,12/3/2019,A
COFFEE SHOP,2323 N LAKE DR,3,11/26/2018,A
COFFEE WITH A CONSCIENCE,1555 N RIVERCENTER DR,6,3/27/2020,A
COLECTIVO COFFEE ROASTERS,2301 S KINNICKINNIC AV,14,12/18/2019,A
COLECTIVO COFFEE ROASTERS,225 E ST PAUL AV,4,3/4/2020,A
COLECTIVO COFFEE ROASTERS,1701 N LINCOLN MEMORIAL DR,4,8/1/2019,A
COLECTIVO COFFEE ROASTERS,2211 N PROSPECT AV,,8/19/2019,A
COLECTIVO COFFEE ROASTERS (27114),225 E ST PAUL AV,4,4/4/2019,A
COLECTIVO COFFEE ROASTERS INC,2301 S KINNICKINNIC AV,14,12/20/2018,A
COLECTIVO COFFEE ROASTERS INC (27296),2999 N HUMBOLDT BL,3,6/25/2019,A
COLECTIVO COFFEE ROASTERS INC (28373),777 E WISCONSIN AV,4,5/7/2019,A
"COLECTIVO COFFEE ROASTERS, INC. (27299)",170 S 1ST ST,12,8/17/2020,A
COLLEGE SHELL,6311 S 13TH ST,,1/22/2020,A
COLOUR PALATE,120 N WATER ST,4,3/9/2020,A
COMEDY SPORTZ,420 S 1ST ST,12,11/22/2019,A
COMET CAFE,1943 N FARWELL AV,3,3/4/2019,A
COMFORT SUITES PARK PLACE,10831 W PARK PL,5,7/24/2019,A
COMFORT ZONE BANQUET FACILITIES,5526 W FOND DU LAC AVE,7,8/27/2018,A
COMIENDO RICO,2302 W FOREST HOME AV,,10/23/2019,A
COMMUNITY FOODS,2800 N 27TH ST,15,8/5/2019,A
COMMUNITY FOODS,2800 N 27TH ST,15,8/5/2019,P
COMPANY BREWING,735 E CENTER ST,3,8/14/2019,A
CONCOURSE C- C-NBC REGISTER 512 - PARADIES,5300 S HOWELL AV,13,8/14/2019,A
CONCOURSE C- THIRD WARD NEWS,5300 S HOWELL AV,13,8/14/2019,A
CONCOURSE D- MILWAUKEE NEWS REGISTER- PARADIES,5300 S HOWELL AV,,7/5/2019,A
CONCOURSE D-LAKEVIEW REGISTER 516- PARADIES,5300 S HOWELL AV,13,7/5/2019,A
CONEJITO'S PLACE,539 W VIRGINIA ST,12,11/26/2019,A
CONEJITO'S PLACE,539 W VIRGINIA ST,12,11/26/2019,A
CONEJITO'S PLACE,539 W VIRGINIA ST,12,11/26/2019,A
CONFECTIONALTELY YOURS,3536 W FOND DU LAC AV,,12/4/2019,A
CONGREGATION OF THE IMMACULATE CONCEPTION,1051 E RUSSELL AV,14,1/22/2020,A
CONNIE'S NITE LIFE LOUNGE,4001 W NORTH AV,15,3/27/2018,A
CONVENIENCE+,308 E WISCONSIN AV,4,1/9/2020,A
CONVENIENT CORNER,219 E WISCONSIN AV,4,1/9/2020,A
CONVENIENT GOODIES,7516 W APPLETON AV,2,3/8/2019,A
CONWAY'S SMOKIN BAR & GRILL,2121 W WELLS ST,4,12/12/2018,A
COPPER KITCHEN RESTAURANT,3935 S HOWELL AV,13,6/23/2020,A
CORNER LIQUOR,3500 N PORT WASHINGTON AV,6,9/18/2019,A
CORNER LIQUOR II,3079 N HOLTON ST,,8/4/2020,P
CORNER STORE,324 W WISCONSIN AV,4,12/10/2019,A
CORPORATE CATERERS,7933 N 73RD ST,9,12/3/2019,A
COUNTRY INN MILWAUKEE AIRPORT,6200 S 13TH ST,13,8/23/2019,A
COUNTRY INN MILWAUKEE AIRPORT,6200 S 13TH ST,13,8/23/2019,T
COUNTY CLARE,1234 N ASTOR ST,4,2/20/2020,A
COURT LANES MILL,4707 W MILL RD,,3/11/2020,T
COURT MVP 2017 SPORTS BAR & GRILL,5700 W FOND DU LAC AVE,7,11/14/2018,A
COURTYARD BY MARRIOTT,4620 S 5TH ST,13,9/17/2019,A
COURTYARD BY MARRIOTT,4620 S 5TH ST,13,9/17/2019,A
COURTYARD BY MARRIOTT MILWAUKEE DOWNTOWN,300 W MICHIGAN ST,4,8/5/2020,A
COURTYARD BY MARRIOTT MILWAUKEE DOWNTOWN (RETAIL),300 W MICHIGAN ST,4,8/5/2020,A
COUSIN'S SUBS,552 W LAYTON AV,13,4/23/2018,A
COUSIN'S SUBS,552 W LAYTON AV,13,7/28/2020,A
COUSINS,3104 S 27TH ST,13,8/1/2018,A
COUSINS (15115),3104 S 27TH ST,13,7/22/2019,A
COUSINS (17731),1612 W WISCONSIN AV,,7/1/2020,A
COUSINS SUBS,117 W NATIONAL AV,,12/16/2019,A
COUSINS SUBS,324 E WISCONSIN AV,4,3/13/2018,A
COUSINS SUBS,2900 N OAKLAND AV,3,2/7/2018,A
COUSINS SUBS,11401 W SILVER SPRING DR,5,3/6/2018,A
COUSINS SUBS,5121 W HOWARD AV,11,2/3/2020,A
COUSINS SUBS,7603 W BURLEIGH ST,5,1/14/2020,A
COUSINS SUBS,9015 W APPLETON AV,2,12/11/2019,A
COUSINS SUBS,7140 N 76TH ST,9,2/27/2020,A
COUSINS SUBS (190808),552 W LAYTON AV,13,5/14/2019,A
COUSINS SUBS (19663),801 E CAPITOL DR,6,2/27/2020,A
COUSINS SUBS (20662),11401 W SILVER SPRING DR,5,3/26/2019,A
COUSINS SUBS (22901),10855 W PARK PL,5,5/29/2019,A
COUSINS SUBS (26509),1233 E BRADY ST,3,2/17/2020,A
COUSINS SUBS (26717),4121 N 56TH ST,2,2/21/2020,A
COUSINS SUBS (3598),4134 W VILLARD AV,1,6/3/2019,A
COUSINS SUBS ID #0528,916 S CESAR E CHAVEZ DR,12,7/17/2018,MA
CRABBY'S BAR & GRILL,2109 W OKLAHOMA AV,13,12/10/2019,A
CRAFTY COW/HOT HEAD FRIED CHICKEN,2675 S KINNICKINNIC AV,14,12/11/2019,A
CRAZY WATER,839 S 2ND ST,12,12/2/2019,A
CRISPY AND GRILL,3100 S 60TH ST,11,3/10/2020,A
CROSSROADS COLLECTIVE,2238 N FARWELL AV,3,7/25/2019,A
CROWNE ROYAL PLAZA MILWAUKEE AIRPORT,6401 S 13TH ST,13,9/18/2019,A
CUBANITAS,728 N MILWAUKEE ST,4,3/3/2020,A
CULVER'S,575 W LAYTON AV,13,7/25/2019,A
CULVER'S,575 W LAYTON AV,13,7/25/2019,A
CULVER'S  MIDTOWN,5501 W FOND DU LAC AV,2,1/29/2020,A
CULVER'S (21271),7515 W GOOD HOPE RD,9,8/7/2020,A
CUP FOODS,3249 N 3RD ST,6,5/10/2019,A
CVI/TROOP CAFE,3430 W WISCONSIN AV,4,6/23/2020,A
CVS PHARMACY #1267,7550 W PERKINS PL,2,8/22/2019,A
CVS PHARMACY #3394,3860 S 27TH ST,13,5/28/2019,A
CVS PHARMACY #8762,1316 W FOREST HOME AV,12,6/9/2020,A
CVS PHARMACY #8762,1316 W FOREST HOME AV,12,3/8/2019,Temporarily Closed
CVS PHARMACY #8763,1650 N FARWELL AV,3,4/10/2019,A
CVS PHARMACY #8767,2607 N DOWNER AV,3,3/19/2019,A
CVS PHARMACY #8769,5929 W LISBON AV,10,8/13/2020,A
CVS PHARMACY #8773,3030 W VILLARD AV,1,2/6/2020,A
D&D ASHLEY'S,1501 W CENTER ST,15,2/25/2020,A
D&S FOOD SERVICES INC,11300 W HEATHER AV,,8/14/2019,A
D14 BREWERY & PUB,2273 S HOWELL AV,14,8/15/2018,A
DADDY'S SOUL FOOD & GRILLE,754 N 27TH ST,4,10/1/2019,A
DADDY'S SOUL FOOD & GRILLE,754 N 27TH ST,4,10/1/2019,A
DADDY'S SUB,2639 W VLIET ST,4,7/21/2020,A
DAILY SPECIAL,4833 W BURLEIGH ST,,10/22/2018,Temporarily Closed
DAIRY STORE-MILWAUKEE COUNTY ZOO,10001 W BLUE MOUND RD,10,5/21/2019,A
DALE Z'S,3585 S HOWELL AV,14,11/20/2019,A
DALE'S,6132 W CAPITOL DR,,6/25/2019,A
DAN DAN,117 N JEFFERSON ST,4,11/26/2019,A
DAN DAN UNIQUE ID #0244,117 N JEFFERSON ST,,9/11/2019,MA
DANA'S FIELDHOUSE,5004 W VLIET ST,10,2/3/2020,A
DAVE'S GAS,4527 W LISBON AV,15,1/22/2020,A
DAVIANS AT 411,411 E WISCONSIN AV,4,5/23/2019,A
DAVIANS AT PARKLAND CENTER,11200 W PARKLAND AV,5,7/10/2019,A
DAVID SCHULZ AQUATIC CENTER,1300 W GLENDALE AV,,8/5/2019,A
DAVIS & SON FOOD & LIQOUR,3562 N MARTIN L KING JR DR,6,10/9/2019,A
DAY DRINK INN,312 W PLAINFIELD AV,15,6/24/2019,A
DC'S MAD HOUSE,3423 S CLEMENT AV,14,5/23/2019,A
DE MARINIS ORIGINAL RECIPES,1211 E CONWAY ST,14,11/7/2019,A
DEAD BIRD BREWING CO.,3078 N FRATNEY ST,,6/24/2020,A
DEALS FOOD MART,5331 W CENTER ST,,3/11/2020,A
DEE ELEGANCE,7420 W VILLARD AV,2,11/14/2018,A
DEEP PANTRY II LLC,2450 W BURLEIGH ST,7,1/25/2018,A
DEKAYBE DELI,8400 W CAPITOL DR,5,3/6/2020,A
DELEXUS ENTERPRISES,1200 W KEEFE AV,6,10/23/2019,P
DELGADOS CATERING ID #136,1537 S CESAR E CHAVEZ DR,12,9/11/2019,MA
DELTA SKY CLUB-CONCOURSE D,5300 S HOWELL AV,13,7/19/2019,A
DENNY'S #8084,4925 S HOWELL AV,13,2/21/2020,A
DENNY'S #8086,8001 W BROWN DEER RD,9,3/20/2019,A
DENNY'S #8092,3801 S 27TH ST,13,10/23/2019,A
DENNY'S #8654,7822 W CAPITOL DR,5,6/11/2018,B
DENNY'S #8654,7822 W CAPITOL DR,5,6/11/2018,Pending
DENVER FLAVOR,8704 W BROWN DEER RD,9,6/19/2018,Temporarily Closed
DESIGNS BY GUZZARDO,5402 W STATE ST,10,10/31/2018,A
DG ISLANDS CUISINE,8103 W TOWER AV,9,5/21/2018,A
DG ISLANDS CUISINE ID #0125,8103 W TOWER AV,9,5/21/2018,MA
DIAMONDS PUB & GRILL,7607 W HAMPTON AV,5,11/27/2019,B
DICK'S PIZZA,730 N MILWAUKEE ST,4,1/23/2020,A
DIMODA,1758 N WATER ST,3,9/13/2019,A
DINERSLAND,1355 N 35TH ST,4,7/1/2020,A
DINO'S RIVERWEST,808 E CHAMBERS ST,3,11/29/2018,A
"DISCOUNT QUICK MART, LLC",8334 W APPLETON AV,5,3/3/2020,A
DISTEFANO'S PIZZA PALACE,4630 W FOREST HOME AV,11,12/18/2019,A
DISTRICT IV,628 N WATER ST,4,4/12/2019,Temporarily Closed
DIVINO WINE & DINE,2315 N MURRAY AV,3,11/4/2019,B
DJ GOLDEN CHICKEN,6806 W VILLARD AV,2,8/12/2019,A
DK DELI,3432 W LISBON AV,15,3/1/2018,A
DOC'S COMMERCE SMOKEHOUSE,754 N 4TH ST,4,7/30/2020,A
DOCCY'S POOL & DARTS,5701 W OKLAHOMA AV,11,6/12/2019,A
DOLLAR  GENERAL STORE #19013,4412 W CAPITOL DR,7,8/13/2019,A
DOLLAR GENERAL STORE #14272,1300 E LOCUST ST,3,3/28/2019,A
DOLLAR GENERAL STORE #14591,5121 W HOWARD AV,11,1/10/2020,A
DOLLAR GENERAL STORE #19014,627 W HISTORIC MITCHELL ST,12,4/16/2019,A
DOLLAR GENERAL STORE #19324,4130 S HOWELL AV,13,10/31/2019,A
DOLLAR STORE #6669,2960 S CHASE AV,14,2/20/2019,A
DOLLAR STORE #6669,2960 S CHASE AV,14,1/25/2018,A
DOLLAR TREE #06067,7519 W OKLAHOMA AV,0,10/25/2019,A
DOLLAR TREE #06530,4331 W OKLAHOMA AV,11,10/14/2019,A
DOLLAR TREE #1059,7600 W CAPITOL DR,5,8/19/2019,Pending
DOLLAR TREE #4721,1300 W HISTORIC MITCHELL ST,12,1/21/2020,A
DOLLAR TREE #4721,1300 W HISTORIC MITCHELL ST,12,1/21/2020,A
DOLLAR TREE #4823,3555 S HOWELL AV,14,1/29/2019,A
DOLLAR TREE #666,10220 W SILVER SPRING DR,5,3/21/2019,A
DOLLAR TREE #671,3700 S 27TH ST,13,10/25/2019,A
DOLLAR TREE STORE #05946,5310 W MAXWELL PL,,6/29/2020,A
DOLLAR TREE STORES #1880,320 E CAPITOL DR,6,5/17/2019,A
DOMINO'S,7131 W CAPITOL DR,,7/1/2020,A
DOMINO'S,6015 W FOREST HOME AV,13,10/14/2019,A
DOMINO'S,5430 N LOVERS LANE RD,5,8/12/2019,A
DOMINO'S (29682),552 W LAYTON AV,13,7/29/2020,A
DOMINO'S PIZZA,3139 N OAKLAND AV,3,1/14/2020,A
DOMINO'S PIZZA,6918 N TEUTONIA AV,,3/5/2020,A
DOMINO'S PIZZA,3139 N OAKLAND AV,3,1/18/2018,A
DOMINO'S PIZZA,6327 W CAPITOL DR,2,8/20/2019,A
DOMINO'S PIZZA  (4211),4211 W NORTH AV,15,6/25/2020,A
DOMINO'S PIZZA (20621),1338 W FOREST HOME AV,12,7/8/2020,A
DOMINO'S PIZZA (27819),719 W WISCONSIN AV,4,9/24/2019,A
DOMINO'S PIZZA (27819),719 W WISCONSIN AV,4,9/24/2019,P
DOMINO'S PIZZA (29198),7613 W GOOD HOPE RD,9,7/17/2019,A
DOMNIO'S PIZZA (27137),6918 N TEUTONIA AV,1,3/8/2019,A
DON JULIO'S (#0654),1937 W FOREST HOME AV,12,9/27/2019,A
DON LUCHO,565 W LINCOLN AV,14,12/7/2018,A
DON PEDRO'S,1979 S 15TH ST,,12/12/2019,A
DON'S DINER,1100 S 1ST ST,,8/28/2019,A
DONUT SQUAD,2264 N PROSPECT AV,3,3/10/2020,A
DORSIA,1301 E BRADY ST,3,7/25/2019,A
DOWNER THEATRE,2589 N DOWNER AV,3,10/28/2019,A
DOWNTOWN KITCHEN,777 E WISCONSIN AV,4,12/3/2019,A
DP DOUGH,1515 E NORTH AVE,,3/2/2020,A
DREAM DANCE STEAK- POTAWATOMI BINGO CASINO/POTAWATOMI HOTEL,1611 W CANAL ST,8,11/25/2019,A
DREAM DANCE STEAK-POTAWATOMI BINGO CASINO/POTAWATOMI HOTEL,1611 W CANAL ST,8,12/17/2018,A
DREAM FOODS,3731 W CENTER ST,15,1/27/2020,A
DREAM LAB,327 W NATIONAL AV,12,12/27/2019,A
DRETZKA GOLF CLUB HOUSE,12020 W BRADLEY RD,9,7/1/2019,A
DRINK WISCONSINBLY PUB,135 E NATIONAL AV,,8/10/2018,A
DUGOUT 54,5328 W BLUE MOUND RD,10,6/23/2020,A
