establishment_name,address,district,inspection_date,establishment_grade
ABC BEER & LIQUOR DEPOT,2816 W FOND DU LAC AV,15,12/10/2019,A
ABC BEER & LIQUOR DEPOT II,1819 S 12TH ST,12,7/6/2020,A
ABC BEER & LIQUOR DEPOT III,1606 S 35TH ST,8,1/16/2020,A
ABC FOOD AND LIQUOR,1143 S 22ND ST,,9/4/2020,A
ABC LIQUOR (26057),3901 W VLIET ST,15,2/4/2020,A
ABC STORE,1143 S 22ND ST,8,1/2/2020,P
ACE MARKET,5035 W CENTER ST,,8/27/2020,A
ACE SUSHI,470 E PLEASANT ST,3,11/12/2019,A
ACTION FOOD & LIQUOR,3455 N MARTIN L KING JR DR,6,9/25/2019,P
ADM CAFE,12500 W CARMEN AV,5,6/10/2019,A
ADOM AFRICAN MARKET,8084 N 76TH ST,9,3/3/2020,A
AFC SUSHI @ URBAN MARKET,777 N VAN BUREN ST,,1/28/2020,A
AFRICAN FOOD DISTRIBUTION,5812 W VILLARD AV,2,7/27/2018,A
AFTERWORDS BOOKSTORE & EXPRESS,2710 N MURRAY AV,3,8/30/2019,A
AGAVE AZUL,3316 W LINCOLN AV,8,8/12/2019,A
AIRPORT BP,4709 S HOWELL AV,13,1/17/2020,A
AIRPORT MART,110 W LAYTON AV,13,7/15/2020,A
AJ BOMBERS,1245 N WATER ST,4,12/5/2019,A
AJS DESI MARKET,9801 W OKLAHOMA AV,11,11/18/2019,A
AL-ASLAH,869 W LAYTON AV,13,7/23/2020,B
AL-YOUSEF SUPERMARKET,6329 S 20TH ST,13,7/30/2019,A
ALADDIN CITY CAFE,841 N RIVERWALK WA,4,7/28/2020,A
ALADDIN TASTES OF EAST,400 N WATER ST,4,3/5/2020,A
ALDERAAN COFFEE,1560 N WATER ST,3,6/16/2020,A
ALDI #14,5301 N HOPKINS ST,1,3/13/2019,A
ALDI #19,225 E CAPITOL DR,6,6/15/2020,A
ALDI #76,6700 W CAPITOL DR,2,3/3/2020,A
ALDI #87,1441 S 35TH ST,8,2/24/2020,T
ALDI #89,7601 W FOND DU LAC AV,2,5/24/2018,A
ALDI'S #40,5811 W OKLAHOMA AV,11,10/30/2019,A
ALDIS #88,2705 S 13TH ST,14,11/8/2019,A
ALE ASLYUM RIVERHOUSE,1110 N OLD WORLD THIRD ST,4,7/10/2019,A
ALE ASLYUM RIVERHOUSE,1110 N OLD WORLD THIRD ST,4,7/10/2019,A
ALEM ETHIOPIAN VILLAGE,307 E WISCONSIN AV,4,11/21/2019,A
ALEXIAN VILLAGE,9301 N 76TH ST,9,2/26/2020,A
ALEXIAN VILLAGE OF MILWAUKEE,9301 N 76TH ST,9,2/26/2020,A
ALI PETROLEUM,5706 W BLUE MOUND RD,10,1/16/2020,A
ALIOTOA'S PUB & GRILL,261 E HAMPTON AV,6,4/30/2019,A
ALL ABOARD CAFE,433 W ST PAUL AV,4,8/26/2020,A
ALL AFRICA MARKET AND BEAUTY SUPPLY,6426 W FOND DU LAC AV,2,5/6/2019,A
ALL FOR US,103 E KEEFE AV,6,10/15/2019,A
ALL FOR US (20155),3500 W FOND DU LAC AV,7,7/9/2020,P
ALL FOR US (20155),3500 W FOND DU LAC AV,7,7/9/2020,Pending
ALL FOR US (20155),3500 W FOND DU LAC AV,7,7/9/2020,P
ALL SAINTS CATHOLIC CHURCH,4051 N 25TH ST,1,1/30/2020,A
ALLIANCE SUPER FOOD MARKET,2672 N 35TH ST,15,1/21/2020,A
ALOFT MILWAUKEE DOWNTOWN,1230 N OLD WORLD THIRD ST,6,4/5/2019,A
ALOHA POKE COMPANY,220 E BUFFALO ST #2,4,3/9/2020,A
ALPHA OZONE FOOD MARKET,5050 N HOPKINS ST,1,2/3/2020,A
AMANAH MARKET,1301 W EDGERTON AV,13,6/25/2019,A
AMARANTH BAKERY,3329 W LISBON AV,15,2/5/2020,A
AMBASSADOR HOTEL,2308 W WISCONSIN AV,4,3/6/2020,A
AMBASSADOR HOTEL-ENVOY COFFEE DECO,2308 W WISCONSIN AV,4,3/6/2020,A
AMELIA'S,724 W LAYTON AV,13,6/18/2019,A
AMELIA'S,724 W LAYTON AV,13,6/18/2019,A
AMEPAK,2514 S 27TH ST,8,12/9/2019,A
AMERICA'S BEST WINGS,4119 N 56TH ST,,7/6/2020,A
AMERICAN EUROPEAN FOODS,5625 W NORTH AV,10,6/19/2019,A
AMERICAN LEGION POST #537,9159 W BELOIT RD,11,10/8/2019,A
AMERICAN SERB HALL,5101 W OKLAHOMA AV,11,11/15/2019,A
AMERICAN SERB HALL,5101 W OKLAHOMA AV,11,11/15/2019,A
AMERICAN SUB,1114 E NORTH AV,3,7/8/2020,A
AMF WEST LANES,7505 W OKLAHOMA AV,11,12/4/2018,A
AMLINDA,315 E WISCONSIN AV,4,10/22/2019,A
AMSTAR,9114 W SILVER SPRING DR,2,11/12/2019,A
AMSTAR,4866 S 27TH ST,13,5/14/2019,A
AMSTAR,1707 W ROGERS ST,12,3/11/2020,A
AMSTAR (1707),1707 W ROGERS ST,12,3/19/2019,A
AMSTAR (17947),4301 W FOND DU LAC AV,7,6/24/2019,P
AMSTAR (29418),4866 S 27TH ST,13,1/29/2020,A
ANDY 76,4801 N 76TH ST,,2/24/2020,A
ANDY'S 76,4801 N 76TH ST,2,1/17/2019,A
ANDY'S AT LOVERS LANE,5401 N LOVERS LANE RD,5,3/22/2019,A
ANDY'S ON BROWN DEER,8200 W BROWN DEER RD,9,5/1/2019,A
ANDY'S ON GOOD HOPE,7605 W GOOD HOPE RD,9,3/5/2020,A
ANDY'S ON TEUTONIA,7222 N TEUTONIA AV,1,5/17/2019,A
ANGEL FOOD MARKET,3700 N 26TH ST,7,1/17/2020,P
